,,,3705,2204,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động
,,,,,Những thay đổi về tài sản hoạt động
,,,-6202,-3366,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác"
,,,-16190,-10339,10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán
,,,212,56,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác
,,,-25778,-18120,12. (Tăng)/Giảm các khoản cho vay khách hàng
,,,-68,-1041,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản
,,,-311,822,14. (Tăng)/Giảm khác về tài sản hoạt động
,,,,,Những thay đổi về công nợ hoạt động
,,,7936,10688,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN
,,,38072,-10308,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng"
,,,25181,13070,17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước)
,,,11283,12400,18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính)
,,,-4,-1,"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro"
,,,,171,20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác
,,,-315,-533,21. Tăng/(Giảm) khác về công nợ hoạt động
,,,-1,-14,22. Chi từ các quỹ của TCTD
,,,37520,-4310,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh
,,,,,Lưu chuyển tiền từ hoạt động đầu tư
,,,-419,-181,1. Mua sắm tài sản cố định
,,,67,1,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ"
,,,,,"3. Tiền chi từ thanh lý, nhượng bán TSCĐ"
,,,,,4. Mua sắm bất động sản đầu tư
,,,,,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư"
,,,,,"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư"
,,,,,"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)"
,,,,,"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)"
,,,13,3,"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn"
,,,-338,-177,II- Lưu chuyển tiền thuần từ hoạt động đầu tư
,,,,,Lưu chuyển tiền từ hoạt động tài chính
,,,,,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu
,,,,,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác
,,,,,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác
,,,,,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia"
,,,,,5. Tiền chi ra mua cổ phiếu quỹ
,,,,,6. Tiền thu được do bán cổ phiếu quỹ
,,,,,III- Lưu chuyển tiền thuần từ hoạt động tài chính
,,,37181,-4487,IV- Lưu chuyển tiền thuần trong kỳ
,,,,139825,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ
,,,62,-65,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá
,,,37243,135273,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ
